transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
LSUB349C5A12KE,180052842269402,emoney,"Purwadi Mardhiyah, S.Kom",F,2006,8C,Kebayoran Lama - Tanah Abang,0.0,B02972P,Pospol Jati Bunder,-6.189707,106.81317,27,2023-04-14 09:43:21,P00083,Jak Lingko Tanah Abang,-6.185496,106.81105,29.0,2023-04-14 10:44:52,3500.0
OCVD973I0F15FC,630487347266,flazz,"drg. Dinda Prastuti, S.Sos",M,1964,JAK.18,Kalibata - Kuningan,0.0,B00898P,Jln. Barkah III Manggarai Selatan,-6.220809,106.85067,37,2023-04-14 07:36:09,B05398P,Soepomo,-6.224741,106.84751,43.0,2023-04-14 08:56:04,0.0
VOGU645F3O61NQ,3556146215285027,dki,Cakrawala Yuniar,F,1998,14,Jakarta International Stadium - Senen,0.0,B00083P,Atrium 1,-6.177759,106.8412,17,2023-04-14 06:53:17,B05725P,Term. Senen,-6.17356,106.84213,21.0,2023-04-14 08:43:36,3500.0
LTDN427E9D98GX,379208329550349,emoney,Margana Marpaung,M,1988,JAK.112,Terminal Tanah Merah - Pulo Gadung,1.0,B04878P,Simpang Jln. Tarian Raya Barat,-6.170599,106.9099,14,2023-04-14 06:02:26,B04804P,Simpang Gading Mas Biru Laut,-6.166526,106.90893,18.0,2023-04-14 06:33:29,0.0
ZQIY001V5H15IK,6011656090843460,dki,Cayadi Maryati,F,1994,"","",1.0,B03974P,Sbr. Komplek Kodam Jaya,-6.197871,106.77108,21,2023-04-14 10:55:39,"",Yayasan Alkahfi Jakbar,-6.198896,106.76889,26.0,2023-04-14 12:26:21,3500.0
MIAI496E1U84LZ,6507638073318307,dki,Hani Nugroho,F,1988,JAK.50,Kalideres - Puri Kembangan,1.0,B04145P,Sbr. Ps. Hipli Semanan,-6.156922,106.70563,47,2023-04-14 11:46:53,B01798P,Kalideres 1,-6.154249,106.70544,49.0,2023-04-14 12:44:17,0.0
NPOS602B8L89CF,567048101008,flazz,"Drs. Faizah Widodo, S.H.",F,2001,T21,Palem Semi - Bundaran Senayan,1.0,B00378P,FX Sudirman,-6.225532,106.8037,1,2023-04-14 05:37:37,B00589P,GBK Pintu 7,-6.222095,106.80861,3.0,2023-04-14 07:13:48,20000.0
JIAG345J3G15PV,2606548319852663,dki,Julia Rahimah,F,2006,9C,Pinang Ranti - Bundaran Senayan,1.0,P00033,Cawang UKI,-6.250309,106.8736,13,2023-04-14 11:10:04,P00064,Garuda Taman Mini,-6.290154,106.88116,14.0,2023-04-14 12:45:16,3500.0
XZHH352L1X01ZK,4484557309610616405,brizzi,Ellis Lailasari,M,2008,JAK.60,Kelapa Gading - Rusun Kemayoran,1.0,B03023P,Pusat Pelayanan Warga Summarecon,-6.14844,106.91495,37,2023-04-14 08:07:32,B05227P,Singapore International School,-6.149554,106.915842,38.0,2023-04-14 09:42:04,0.0
FDMR236B6R01DZ,4581300237839678,dki,Kacung Pudjiastuti,F,2006,11N,Rusun Cipinang Muara - Jatinegara,0.0,B00538P,Gg. Randu,-6.221883,106.89946,1,2023-04-14 12:26:01,B05350P,SMPN 14,-6.214718,106.86485,14.0,2023-04-14 13:24:14,0.0
HHHN542S5A61VB,4993628236551825,dki,Ian Pangestu,M,1983,JAK.106,Terminal Kampung Melayu - Terminal Klender,0.0,B04170P,Sbr. Ps. Rawa Bening,-6.216795,106.87037,28,2023-04-14 11:28:47,B01168P,Jln. Jatinegara Timur III,-6.218533,106.86864,30.0,2023-04-14 12:34:20,0.0
QYFS422Q5I51SV,4991481114103745,dki,Prayogo Oktaviani,M,2000,JAK.75,Cililitan - Kp. Pulo,1.0,B00154P,BKN 1,-6.258026,106.86955,22,2023-04-14 10:54:54,B05750P,TK Angkasa 5,-6.261783,106.88613,28.0,2023-04-14 12:10:33,0.0
SUKO067D9S99HY,676318264501,flazz,Harsanto Wasita,F,2007,1B,Stasiun Palmerah - Tosari,0.0,B00126P,Benhil 2,-6.216775,106.8154,5,2023-04-14 11:06:02,B00127P,Benhil 3,-6.21601,106.81632,6.0,2023-04-14 12:09:17,3500.0
IVKI163N4N55YX,4234007630783462979,brizzi,"Tgk. Ega Padmasari, S.Sos",F,2008,8D,Joglo - Blok M,1.0,B01781P,Joglo,-6.220009,106.74171,0,2023-04-14 05:20:14,B01315P,Jln. Lapangan Merah,-6.218499,106.75514,5.0,2023-04-14 06:11:22,3500.0
SQEQ226J5Y75SG,2614059373381201,dki,T. Bakidin Sihotang,F,1987,M7B,BKN - Blok M,1.0,P00254,Tendean,-6.240213,106.83102,12,2023-04-14 06:43:22,B05920P,Yayasan Mambaul Ula,-6.25935,106.8643,31.0,2023-04-14 07:18:36,""
APJS472U1Q62ZW,4019905363673105,dki,"Adika Kusumo, S.H.",M,1982,JAK.80,Rawa Buaya - Rawa Kompeni,0.0,B02457P,Minimarket Benda Raya 1,-6.104146,106.70914,31,2023-04-14 13:32:17,B04178P,Sbr. PAUD Bina Keluarga Balita,-6.101793,106.69714,43.0,2023-04-14 15:03:52,0.0
YELJ270M4L20OI,3504089754852802,dki,Prasetyo Astuti,M,1988,11B,Rusun Rawa Bebek - Penggilingan,0.0,B03291P,Rusun Rawa Bebek,-6.196241,106.9658,0,2023-04-14 06:11:50,B06655P,Walikota Jakarta Timur 2,-6.212722,106.94472,1.0,2023-04-14 06:52:37,0.0
PIXV058K9C12SX,6510380828231726,dki,"KH. Yosef Prayoga, S.Farm",M,1985,JAK.48B,Stasiun Tebet - Kampung Melayu,0.0,B00494P,Gg. Kelor,-6.211791,106.86043,5,2023-04-14 08:56:23,"","","","","","",""
AAAB241Q2R43WX,180029435580718,emoney,Ira Usada,F,1966,JAK.56,Grogol - Srengseng,1.0,"",SDN Kelapa Dua 01,-6.207288,106.76927,2,2023-04-14 12:38:43,B00588P,GBI Sungai Yordan,-6.166828,106.7698,43.0,2023-04-14 14:00:46,0.0
BQNG752N3G82VB,349683800593553,emoney,Asirwada Megantara,F,2009,10B,Rusun Cipinang Besar Selatan - Penas Kalimalang,1.0,B00264P,Cipinang Kb. Nanas 1,-6.231595,106.87615,2,2023-04-14 06:23:35,B03270P,Rusun Cipinang Besar Selatan,-6.231625,106.88288,6.0,2023-04-14 07:59:42,0.0
IMZH615W0O14MY,3546745892021028,dki,Dinda Pratiwi,M,2006,JAK.37,Cililitan - Condet via Kayu Manis,1.0,B02514P,Mushola As Salam Batu Ampar,-6.271313,106.86033,35,2023-04-14 11:45:36,B02828P,PGC Dalam,-6.261841,106.8657,41.0,2023-04-14 12:12:36,0.0
BITX319V6Z54BA,349577577192740,emoney,"Talia Nababan, S.IP",M,2002,10A,Rusun Marunda - Tanjung Priok,1.0,B05530P,STIP,-6.104402,106.95904,4,2023-04-14 12:16:08,B03284P,Rusun Marunda 2,-6.09826,106.96218,6.0,2023-04-14 13:44:02,0.0
OQMH567K4X78EE,5284657247304556,dki,H. Reksa Tampubolon,M,2007,JAK.60,Kelapa Gading - Rusun Kemayoran,0.0,B01166P,Jln. Janur Indah XI,-6.155924,106.90801,6,2023-04-14 07:46:43,B00168P,Boulevard Inspeksi Kali Sunter,-6.151094,106.88901,32.0,2023-04-14 08:11:52,0.0
BISQ140N8S98CK,30213702385918,bni,Farhunnisa Latupono,M,1983,11K,Rusun Komarudin - Penggilingan,1.0,P00169,Penggilingan,-6.214132,106.93961,0,2023-04-14 06:59:45,B03281P,Rusun Komarudin,-6.208781,106.94252,1.0,2023-04-14 07:28:04,0.0
XEWV795W3L40BA,30118628845442,bni,"Rahayu Farida, S.Kom",M,1980,JAK.110A,Rusun Marunda - Terminal Terpadu Pulo Gebang,1.0,B05316P,SMKN 4,-6.141156,106.95555,42,2023-04-14 08:15:44,B01544P,Jln. Rorotan V Gg. 1,-6.136056,106.95477,48.0,2023-04-14 09:36:37,0.0
DBYN624V0I28HN,30568786410068,bni,"Gatra Tamba, S.T.",F,1994,JAK.19,Pinang Ranti - Kampung Rambutan,1.0,B00400P,Gg. Ali,-6.307683,106.87636,2,2023-04-14 11:30:31,B00449P,Gg. H Piran,-6.297323,106.89335,47.0,2023-04-14 13:02:02,0.0
RVIO940W3D99YB,6011024970416149,dki,"Nadia Saragih, S.I.Kom",F,2002,JAK.18,Kalibata - Kuningan,0.0,B02727P,Pengadegan Barat VI,-6.250117,106.85397,3,2023-04-14 07:43:45,B05889P,Wisma Laena Tebet,-6.223586,106.85008,28.0,2023-04-14 09:09:10,0.0
GLNT993Y7X55QC,4188469163215,online,"Cut Ayu Rahayu, S.Pd",M,1982,5D,PGC 1 - Ancol,1.0,P00109,Matraman Baru,-6.21288,106.86115,13,2023-04-14 05:12:58,P00070,Gelanggang Remaja,-6.235445,106.86795,17.0,2023-04-14 06:43:19,3500.0
FNHK685I2I21WV,344784326221920,emoney,Karimah Wahyudin,F,2001,2P,Gondangdia - Senen,0.0,B03199P,RSPAD 1,-6.176162,106.83987,10,2023-04-14 10:42:48,B05725P,Term. Senen,-6.17356,106.84213,14.0,2023-04-14 11:11:19,3500.0
OXEV498U8R70GP,3597961910262449,dki,dr. Jelita Hardiansyah,M,1970,1P,Senen - Blok M,0.0,B05693P,Telkom Grapari,-6.18222,106.83297,11,2023-04-14 08:39:11,"",Tosari 3,-6.200069,106.82335,20.0,2023-04-14 09:53:50,3500.0
PUNG808S4J74DV,30233090748972,bni,Salimah Riyanti,F,2002,8A,Jelambar - Juanda,0.0,P00161,Pecenongan,-6.16771,106.82819,6,2023-04-14 05:50:45,P00097,Juanda,-6.168048,106.83089,7.0,2023-04-14 06:12:16,3500.0
KUXW770D1Y00RS,213135078300214,emoney,Kamal Nuraini,M,1965,JAK.19,Pinang Ranti - Kampung Rambutan,0.0,B05129P,Simpang Rukun 1,-6.308156,106.91758,39,2023-04-14 12:31:12,"","","","","","",0.0
XDIY164H4M81DR,4760137225202,online,"R.A. Fitria Pudjiastuti, M.TI.",F,1987,JAK.45,Lebak Bulus - Ragunan,1.0,B03512P,Sbr. Gg. Borobudur Ragunan,-6.3068,106.81684,8,2023-04-14 13:03:10,B04713P,Simpang Bango Tridharma Raya,-6.303002,106.80452,26.0,2023-04-14 14:34:55,0.0
OQNM064K3R80QZ,3521643682976940,dki,Rahmi Saptono,F,2012,M9,Pinang Ranti - Pluit,0.0,P00170,Penjaringan,-6.126306,106.79203,23,2023-04-14 11:02:45,P00181,Pluit,-6.115795,106.79037,24.0,2023-04-14 12:17:36,3500.0
ATIY003U6Z38WK,4407982607791,online,Tina Saefullah,F,1991,1H,Tanah Abang - Stasiun Gondangdia,0.0,B06053P,Selatan St. Gondangdia,-6.187059,106.8329,1,2023-04-14 09:32:07,B00158P,Blok E,-6.18497,106.81463,11.0,2023-04-14 11:13:49,3500.0
ZULX126M5J52KV,344919939144164,emoney,Jelita Maheswara,F,1987,6T,Pasar Minggu - Velbak,0.0,B06732P,TPU Koba,-6.260605,106.808031,28,2023-04-14 09:16:53,B06736P,Jln. Pakubuwono VI,-6.239586,106.786544,41.0,2023-04-14 11:10:26,3500.0
VXBK097W1M45PD,4140911047830363924,brizzi,Yance Aryani,M,1978,JAK.48A,Stasiun Tebet - Rusun Karet Tengsin,1.0,B01208P,Jln. Karet Pasar Baru Timur II,-6.203949,106.81636,7,2023-04-14 09:55:32,B03396P,Kota Kasablanka,-6.224688,106.84246,19.0,2023-04-14 11:54:40,""
ONAT864I4R30AI,5114535082212157,dki,"Kenari Setiawan, S.Sos",F,1992,6N,Ragunan - Blok M via Kemang,0.0,B00066P,Arsip Nasional RI 1,-6.279439,106.81987,10,2023-04-14 10:09:25,B04924P,Simpang Kemang Selatan 1,-6.274242,106.82066,12.0,2023-04-14 11:41:18,3500.0
TKVV697X8W71HA,374826778607941,emoney,Umay Nababan,F,1986,JAK.110A,Rusun Marunda - Terminal Terpadu Pulo Gebang,1.0,B02182P,Malaka Jaya RW11 Rorotan,-6.144631,106.9562,38,2023-04-14 06:07:51,B02642P,Ps. Malaka Rorotan,-6.13998,106.95493,43.0,2023-04-14 07:53:46,0.0
UTFV135B4L20YZ,3577254949793269,dki,Dr. Hesti Mandasari,M,2009,"","",0.0,B02485P,MTsN 37,-6.09791,106.70237,39,2023-04-14 06:36:17,B04041P,Sbr. Masjid Arrahim Rawa Kompeni,-6.104841,106.69008,44.0,2023-04-14 07:42:28,0.0
YZML542G1U56RY,3541980313378864,dki,T. Paiman Wastuti,F,2000,11N,Rusun Cipinang Muara - Jatinegara,1.0,B05458P,St. Klender 2,-6.213433,106.89787,7,2023-04-14 07:22:08,B03977P,Sbr. Komplek Pacul Mas,-6.221005,106.89961,11.0,2023-04-14 08:57:17,0.0
KFFH112G7Q40MR,503859106877,flazz,Tantri Utami,M,1971,2Q,Gondangdia - Balai Kota,0.0,B06053P,Selatan St. Gondangdia,-6.187059,106.8329,0,2023-04-14 08:32:08,B05693P,Telkom Grapari,-6.18222,106.83297,4.0,2023-04-14 10:14:45,3500.0
PCJF135Q4K63PJ,4569004720406572858,brizzi,Uli Situmorang,M,1981,JAK.35,Pangkalan Jati - Rawamangun,0.0,B05798P,Transjakarta Pool Klender,-6.205191,106.90301,26,2023-04-14 08:07:55,"",Sbr. Makam Pangeran Jayakarta,-6.202545,106.90171,28.0,2023-04-14 08:34:22,0.0
SHWK733U4K07YB,2221445182130548,dki,Natalia Haryanti,F,1993,7C,Cibubur - BKN,1.0,B00226P,Buperta Cibubur,-6.370321,106.89628,1,2023-04-14 13:20:57,B00248P,Cibubur Junction,-6.368735,106.89366,2.0,2023-04-14 15:14:15,3500.0
PDPB795I6U63VT,2556356195137492,dki,Indah Wibowo,F,1985,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,0.0,B05029P,Simpang Palmerah Barat Rawa Belong,-6.206758,106.78372,28,2023-04-14 08:00:28,B03972P,Sbr. Komplek Kemhan Cidodol,-6.227906,106.77846,54.0,2023-04-14 08:59:42,0.0
DJUK790I6N34SC,3594955647820605,dki,drg. Hamima Dabukke,F,2004,"","",1.0,B06544P,Manggarai 1,-6.208717,106.84808,1,2023-04-14 07:19:09,B06551P,Gg. Oyot,-6.207791,106.86593,9.0,2023-04-14 09:18:08,0.0
GFMO066H8F21AB,5578930710752840,dki,Hairyanto Pranowo,F,1985,11N,Rusun Cipinang Muara - Jatinegara,1.0,B00792P,Imigrasi Jaktim 2,-6.214552,106.8818,3,2023-04-14 07:24:33,B02077P,Koperasi Serba Usaha,-6.222036,106.89954,12.0,2023-04-14 08:05:52,0.0
TOYX406Y5T49HY,4824850146050,online,Umar Ardianto,F,1987,2B,Harapan Indah - ASMI,1.0,B06777P,Ps. Cakung 1,-6.182424,106.935415,9,2023-04-14 07:15:59,B02143P,Lion Metal 2,-6.185858,106.95209,17.0,2023-04-14 09:15:09,3500.0
MRHO027Q5Z74YW,4676547013558532566,brizzi,"Sutan Prabowo Usamah, S.I.Kom",F,1981,6A,Ragunan - MH Thamrin via Kuningan,1.0,P00256,MH Thamrin,-6.188149,106.82299,0,2023-04-14 11:40:02,P00222,Setiabudi Utara,-6.209189,106.830237,2.0,2023-04-14 12:29:50,3500.0
QIKF979A8B52NV,3521870832057616,dki,Vino Mayasari,M,2007,D11,Depok - BKN,0.0,B02472P,Moch Yusuf Raya 1,-6.379631,106.84094,5,2023-04-14 12:41:43,B04201P,Sbr. Pesona Square,-6.379679,106.84426,6.0,2023-04-14 14:32:48,3500.0
BNOR380L5S27CG,4883884234588862,dki,R.A. Endah Hardiansyah,M,1966,JAK.14,Tanah Abang - Meruya,0.0,B05012P,Simpang Meruya Ilir Srengseng,-6.196942,106.75667,53,2023-04-14 05:29:52,B03247P,Ruko Meruya Ilir,-6.197437,106.75067,57.0,2023-04-14 06:56:11,0.0
HCGW716I3A80QN,345385804376449,emoney,Dr. Eka Wahyudin,M,1981,JAK.03,Lebak Bulus - Andara,1.0,B04650P,Sekolah Purba Adhika 1,-6.311037,106.78555,11,2023-04-14 13:04:23,"","","","","","",0.0
ZYUM245D7Y29WD,4874773937841002647,brizzi,"dr. Farah Yuliarti, M.Pd",F,1985,6C,Stasiun Tebet - Karet via Patra Kuningan,0.0,B00064P,Ariobimo Sentral,-6.227471,106.83328,7,2023-04-14 11:07:43,B04505P,Sbr. Standard Chartered,-6.217407,106.81934,22.0,2023-04-14 11:45:45,3500.0
EMKI969L6W76AQ,4827442129358526,dki,"R.A. Oliva Yuliarti, M.Kom.",F,1992,4D,Pulo Gadung 2 - Kuningan,1.0,P00135,Matraman 2,-6.19891,106.8545,9,2023-04-14 07:49:52,P00238,Sunan Giri,-6.193267,106.88367,15.0,2023-04-14 09:48:17,3500.0
WJEN092B2O39BB,6547155617203954,dki,drg. Artawan Sitorus,M,1952,5N,Kampung Melayu - Ragunan,0.0,B03214P,RSUD Pasar Minggu,-6.293553,106.82083,39,2023-04-14 07:54:24,B05841P,Univ. Tarumanegara Cilandak KKO,-6.293511,106.81635,40.0,2023-04-14 08:40:28,3500.0
GCKB710W8V11HG,4993710478837,online,Gaduh Nasyidah,F,1990,2E,Rusun Rawa Bebek - Kodamar,1.0,B02801P,Perum Tpi 2,-6.19745,106.93516,15,2023-04-14 05:01:05,B03291P,Rusun Rawa Bebek,-6.196241,106.9658,26.0,2023-04-14 06:12:35,0.0
SSEN335E7S31NW,346835441559343,emoney,Puti Vanya Suartini,F,1986,1R,Senen - Tanah Abang,0.0,B05725P,Term. Senen,-6.17356,106.84213,0,2023-04-14 08:10:29,B02830P,Pharmin,-6.182988,106.81306,7.0,2023-04-14 09:56:50,3500.0
WLSS894K2A43VW,4016568396545,online,R.M. Mursita Hariyah,M,1972,JAK.32,Lebak Bulus - Petukangan,0.0,B04795P,Simpang Deplu Veteran Raya,-6.271822,106.76451,10,2023-04-14 05:17:13,B01549P,Jln. Sabar 1 Petukangan,-6.240055,106.75249,43.0,2023-04-14 05:48:26,0.0
OEFS671W2B36DU,5321470256126935,dki,"Tania Halimah, S.Ked",F,2002,13B,Puri Beta - Pancoran Barat,0.0,P00044,CSW 1,-6.23994,106.79843,10,2023-04-14 05:56:08,P00144,Pancoran Barat Arah Timur,-6.241571,106.83808,13.0,2023-04-14 06:23:30,3500.0
SKEH355J9S87RE,2716817624410658,dki,Mahfud Uyainah,M,1973,2A,Pulo Gadung - Rawa Buaya via Balai Kota,1.0,P00150,Pasar Cempaka Putih,-6.172325,106.86246,16,2023-04-14 08:02:15,P00038,Cempaka Timur,-6.166584,106.87591,19.0,2023-04-14 09:36:13,3500.0
CDIM915O3H90IL,3502967899324468,dki,Ivan Riyanti,M,1965,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,0.0,B00340P,Epiwalk Epicentrum,-6.217666,106.83547,10,2023-04-14 12:19:39,B05644P,Taman Rasuna Tower 17,-6.217105,106.83598,30.0,2023-04-14 13:03:03,3500.0
SWUQ418Z5W16ZJ,30566784196002,bni,"Ulva Habibi, S.Pt",F,1997,JAK.28,Kp. Rambutan - Taman Wiladatika,1.0,B03344P,SDN Cibubur 01,-6.354808,106.87871,5,2023-04-14 13:31:06,B02188P,Mall Cijantung,-6.312041,106.86245,28.0,2023-04-14 15:07:15,0.0
FXEJ296F3A19CK,4613911137735824,dki,"Viman Mayasari, M.Pd",M,1992,M6,Ragunan - MH Thamrin,0.0,P00273,Warung Jati,-6.262364,106.82977,14,2023-04-14 06:44:17,P00164,Pejaten,-6.278404,106.82972,16.0,2023-04-14 08:26:34,3500.0
BLAD773J6O95KU,3581752444414350,dki,Titin Yolanda,M,1989,JAK.106,Terminal Kampung Melayu - Terminal Klender,1.0,B06770P,Jln. Aneka Elok 2,-6.223013,106.891085,15,2023-04-14 07:40:30,B04975P,Simpang Lingkar Duren Sawit,-6.220922,106.91561,21.0,2023-04-14 08:01:40,0.0
OUPK843I6W58SD,4699023220672919,dki,Padmi Tamba,F,2009,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,1.0,B05908P,Yaspen Islam Al Mamur Ciganjur,-6.345678,106.80344,41,2023-04-14 08:01:04,B04061P,Sbr. Masjid Jami Asy Syakirin,-6.351065,106.80161,43.0,2023-04-14 09:59:09,0.0
MLNC509P4R32VK,30411542225886,bni,Sidiq Nuraini,M,1980,M9,Pinang Ranti - Pluit,0.0,P00179,Pinang Ranti,-6.291075,106.88634,0,2023-04-14 05:10:33,P00126,Latumeten Stasiun Grogol Arah Utara,-6.16106,106.7904,19.0,2023-04-14 06:06:22,3500.0
GRGG317U3P17NF,213121182081593,emoney,"dr. Rahman Anggraini, S.Psi",F,2007,1K,Cibubur Junction - Blok M,0.0,B05544P,Summitmas,-6.225826,106.80402,6,2023-04-14 06:31:34,B06579P,Blok M Jalur 4,-6.243474,106.80188,9.0,2023-04-14 08:18:02,20000.0
DJQE921O6P21XE,4804574576642,online,"Ira Mansur, M.TI.",F,1988,JAK.53,Grogol - Pos Pengumben via Slipi,0.0,B00516P,Gg. Mawar Kb. Jeruk,-6.197361,106.7672,47,2023-04-14 11:39:17,B06854P,Jln. Srengseng Raya 3,-6.213944,106.759758,61.0,2023-04-14 13:38:36,0.0
ZVLJ879V9O86VE,4422444870929,online,"dr. Agnes Nugroho, S.T.",F,2004,"","",0.0,B05976P,Jln. B,-6.13446,106.83491,18,2023-04-14 12:33:55,B05989P,Jln. Ancol Barat 6,-6.12481,106.81983,36.0,2023-04-14 14:02:01,0.0
JIGN905I0S98IU,4068378587730,online,Rahayu Iswahyudi,F,1983,2B,Harapan Indah - ASMI,1.0,B00685P,Gramedia Harapan Indah,-6.17631,106.97427,27,2023-04-14 12:18:10,P00157,Pasar Modern Harapan Indah,-6.168544,106.97431,28.0,2023-04-14 13:20:08,3500.0
