transID,payCardID,halteID_tapIn,halteID_tapOut,corridorID,transaction_created_at,tapInTime,tapOutTime,duration,stopStartSeq,stopEndSeq,seqAmount,payAmount
CLWK627W2M22WO,5541851157087967,B05433P,B02387P,5M,2023-04-03,2023-04-03T06:32:28.000Z,2023-04-03T07:23:54.000Z,51,17,23.0,6.0,3500.0
IIEK980X1O23NZ,347204308990092,P00254,P00129,M7B,2023-04-03,2023-04-03T06:22:10.000Z,2023-04-03T06:50:21.000Z,28,12,14.0,2.0,""
OPLW560U3S06UG,3536759468239783,P00281,P00216,9A,2023-04-03,2023-04-03T06:15:04.000Z,2023-04-03T07:08:31.000Z,53,4,6.0,2.0,3500.0
XESX233R4U46DN,6575130739600630,P00159,P00135,4,2023-04-03,2023-04-03T06:12:14.000Z,2023-04-03T07:07:35.000Z,55,2,4.0,2.0,3500.0
LZFD368Q3E81HJ,4056836188316,B00608P,B01062P,JAK.46,2023-04-03,2023-04-03T05:38:44.000Z,2023-04-03T06:09:17.000Z,30,5,17.0,12.0,0.0
KLUN542I2F21PI,4532407180860336,B05291P,B03032P,S22,2023-04-03,2023-04-03T06:43:20.000Z,2023-04-03T07:07:17.000Z,23,1,3.0,2.0,3500.0
XDMP644Z5Y29DB,4556326832434362836,P00096,P00001,13,2023-04-03,2023-04-03T06:49:48.000Z,2023-04-03T07:47:42.000Z,57,10,11.0,1.0,3500.0
CUPO258C0D42PY,4969284110642,B00058P,P00155,9E,2023-04-03,2023-04-03T05:41:28.000Z,2023-04-03T06:35:41.000Z,54,19,20.0,1.0,3500.0
SBPQ144H4S45RA,502034641014,P00093,P00145,M9,2023-04-03,2023-04-03T06:24:23.000Z,2023-04-03T07:07:12.000Z,42,2,16.0,14.0,3500.0
ZYRL615G4C05RD,5430018591726410,B00722P,B05989P,JAK.88,2023-04-03,2023-04-03T06:43:49.000Z,2023-04-03T07:30:45.000Z,46,20,36.0,16.0,0.0
MEFW094B7A84RS,378872365541693,P00206,B05720P,T11,2023-04-03,2023-04-03T05:13:08.000Z,2023-04-03T06:08:59.000Z,55,6,24.0,18.0,3500.0
ZJVI960B9I42DA,343851798729291,unknown,B01393P,JAK.16,2023-04-03,2023-04-03T05:08:36.000Z,2023-04-03T05:30:45.000Z,22,4,20.0,16.0,0.0
RJPK085I1K65HR,676293109036,P00259,P00133,6V,2023-04-03,2023-04-03T06:44:28.000Z,2023-04-03T07:11:25.000Z,26,12,13.0,1.0,3500.0
TFIO518N2X54UT,213191293100137,B02335P,B05256P,11Q,2023-04-03,2023-04-03T06:45:03.000Z,2023-04-03T07:06:05.000Z,21,18,21.0,3.0,3500.0
SYLN486U0E02TA,2295833910329055,B05023P,B03135P,JAK.02,2023-04-03,2023-04-03T05:43:14.000Z,2023-04-03T06:12:52.000Z,29,28,39.0,11.0,0.0
BECP746A8C28NV,4968156435384914,P00233,P00086,11,2023-04-03,2023-04-03T05:48:55.000Z,2023-04-03T06:33:42.000Z,44,13,14.0,1.0,3500.0
KYNP204W3G29VA,676367323901,B05833P,B00147P,1C,2023-04-03,2023-04-03T06:00:19.000Z,2023-04-03T06:23:52.000Z,23,1,5.0,4.0,3500.0
MSFD430X8W13TO,4384653483539395,B06299P,B02195P,3B,2023-04-03,2023-04-03T05:49:39.000Z,2023-04-03T06:42:12.000Z,52,2,6.0,4.0,0.0
MKND874X1D96HF,213155309116759,B06040P,B03322P,R1A,2023-04-03,2023-04-03T05:45:14.000Z,2023-04-03T06:22:28.000Z,37,0,23.0,23.0,3500.0
LFYJ535S2I30DP,4682220924642,P00183,P00104,M1,2023-04-03,2023-04-03T06:15:29.000Z,2023-04-03T06:50:32.000Z,35,5,7.0,2.0,3500.0
TCKQ601Q5O01BC,3589380857722689,B00001P,unknown,JAK.46,2023-04-03,2023-04-03T06:14:02.000Z,"","",19,"","",0.0
KQIA358G2N38CX,4394677357168120,B02831P,B02868P,7E,2023-04-03,2023-04-03T05:11:09.000Z,2023-04-03T05:38:49.000Z,27,16,17.0,1.0,3500.0
RANO576G1J87EO,4905734029265594,B00102P,B00221P,1P,2023-04-03,2023-04-03T06:26:34.000Z,2023-04-03T06:51:21.000Z,24,12,29.0,17.0,3500.0
NZCE828E4J23AW,379334845079777,P00039,P00145,7D,2023-04-03,2023-04-03T06:44:26.000Z,2023-04-03T07:28:00.000Z,43,11,13.0,2.0,3500.0
OFPJ170M5O75AP,346910704516122,P00128,P00121,6H,2023-04-03,2023-04-03T05:12:22.000Z,2023-04-03T05:35:33.000Z,23,0,15.0,15.0,3500.0
LKXU174O1E59EP,2247096843683316,B01311P,B03885P,14,2023-04-03,2023-04-03T06:47:20.000Z,2023-04-03T07:34:23.000Z,47,2,3.0,1.0,3500.0
AXTN077R7Z77JM,675990206087,B02476P,B02477P,BW9,2023-04-03,2023-04-03T06:29:57.000Z,2023-04-03T07:24:08.000Z,54,7,8.0,1.0,0.0
WQXL397G5U61OY,639040388584,P00114,P00161,JIS3,2023-04-03,2023-04-03T06:32:51.000Z,2023-04-03T07:20:21.000Z,47,9,12.0,3.0,3500.0
RLLZ887W3V14WZ,4947438345710982,B02994P,B05707P,5M,2023-04-03,2023-04-03T05:29:43.000Z,2023-04-03T05:58:35.000Z,28,16,30.0,14.0,3500.0
JJEK861K6E37KF,3539535695881465,P00202,P00137,2,2023-04-03,2023-04-03T05:28:22.000Z,2023-04-03T06:02:36.000Z,34,9,19.0,10.0,3500.0
UANX737M9L25GI,574726750023,B02761P,B01056P,JAK.15,2023-04-03,2023-04-03T05:12:53.000Z,2023-04-03T05:50:10.000Z,37,41,50.0,9.0,0.0
VUWZ891M7I57EB,344303671677311,unknown,B00242P,R1A,2023-04-03,2023-04-03T06:50:06.000Z,2023-04-03T07:30:53.000Z,40,12,29.0,17.0,3500.0
CXLW459Z3A28RD,3544931989278653,B00039P,B00066P,6N,2023-04-03,2023-04-03T05:43:45.000Z,2023-04-03T06:19:50.000Z,36,6,10.0,4.0,3500.0
AQPU510X2X44PT,4017802962833960,P00102,P00058,M11,2023-04-03,2023-04-03T06:02:30.000Z,2023-04-03T06:30:30.000Z,28,6,7.0,1.0,3500.0
BRUT293K1O98GA,5465310774429054,B01067P,B04854P,JAK.112,2023-04-03,2023-04-03T06:59:14.000Z,2023-04-03T07:32:35.000Z,33,14,17.0,3.0,0.0
MMEX885R3T18QL,347394043585982,P00064,P00016,9N,2023-04-03,2023-04-03T05:49:25.000Z,2023-04-03T06:39:28.000Z,50,1,2.0,1.0,3500.0
UNFK619O2R74DX,4723250872219869,B03675P,B05440P,JAK.43B,2023-04-03,2023-04-03T05:04:52.000Z,2023-04-03T05:47:58.000Z,43,19,23.0,4.0,0.0
FTGY161E2O14MG,3545499820365948,B03484P,B03953P,JAK.42,2023-04-03,2023-04-03T05:35:17.000Z,2023-04-03T05:56:59.000Z,21,18,22.0,4.0,0.0
ELVU605Z3W26IF,2718070346782735,P00202,P00161,2,2023-04-03,2023-04-03T06:35:17.000Z,2023-04-03T07:17:52.000Z,42,9,18.0,9.0,3500.0
KPDA909R2T72GD,342531623551844,P00044,P00268,13,2023-04-03,2023-04-03T05:51:57.000Z,2023-04-03T06:16:13.000Z,24,3,5.0,2.0,3500.0
GIHF067H1Y81IV,349944373495091,B02032P,B01624P,7P,2023-04-03,2023-04-03T06:08:12.000Z,2023-04-03T06:40:53.000Z,32,15,30.0,15.0,3500.0
IXJW013G5W79VX,4428582927102421723,B02665P,B00636P,JAK.02,2023-04-03,2023-04-03T06:36:49.000Z,2023-04-03T07:13:58.000Z,37,29,33.0,4.0,0.0
PKAM574R5S22UG,566171543168,P00151,P00080,11,2023-04-03,2023-04-03T05:13:45.000Z,2023-04-03T06:02:58.000Z,49,3,4.0,1.0,3500.0
IQBJ843C4G34DE,213121690546749,B02638P,B01428P,JAK.36,2023-04-03,2023-04-03T05:58:04.000Z,2023-04-03T06:39:16.000Z,41,40,41.0,1.0,0.0
SRIX686S0S08SW,3527853482331808,P00106,P00096,13B,2023-04-03,2023-04-03T06:33:41.000Z,2023-04-03T07:29:36.000Z,55,8,12.0,4.0,3500.0
MLTY652D7F29HW,5542490449138301,B02540P,B00959P,1Q,2023-04-03,2023-04-03T06:51:28.000Z,2023-04-03T07:29:33.000Z,38,9,11.0,2.0,3500.0
NICD824U6H93DE,4380875529452127,B01301P,B02767P,JAK.06,2023-04-03,2023-04-03T05:37:47.000Z,2023-04-03T06:06:12.000Z,28,12,24.0,12.0,0.0
YEOK544W1J67OX,4172238784006231,B01875P,B01180P,JAK.14,2023-04-03,2023-04-03T05:33:47.000Z,2023-04-03T06:13:36.000Z,39,7,18.0,11.0,0.0
OPNL705D9K64FN,340065298083181,P00145,P00025,M7,2023-04-03,2023-04-03T05:43:23.000Z,2023-04-03T06:16:38.000Z,33,14,24.0,10.0,3500.0
KHKM512K0T88LD,4268640600849949,B05351P,B01325P,JAK.15,2023-04-03,2023-04-03T05:15:03.000Z,2023-04-03T05:51:14.000Z,36,16,44.0,28.0,0.0
RHUT145C1U25ZY,4290559479079,B00589P,B02556P,T21,2023-04-03,2023-04-03T05:43:48.000Z,2023-04-03T06:09:12.000Z,25,3,14.0,11.0,20000.0
TWAK265Z0M88QR,213155263532652,B05324P,P00138,12A,2023-04-03,2023-04-03T06:13:03.000Z,2023-04-03T06:50:23.000Z,37,9,18.0,9.0,3500.0
JQIF022K9P74RM,4294484188649274,B00693P,B02647P,9D,2023-04-03,2023-04-03T06:46:54.000Z,2023-04-03T07:09:23.000Z,22,45,47.0,2.0,3500.0
MQCN972F9X71NY,180057903365395,P00104,P00133,1,2023-04-03,2023-04-03T06:20:11.000Z,2023-04-03T07:10:56.000Z,50,14,19.0,5.0,3500.0
KINJ335N6L86YT,3551174827324245,B02760P,B03286P,3A,2023-04-03,2023-04-03T06:38:56.000Z,2023-04-03T07:03:11.000Z,24,2,4.0,2.0,0.0
TDIY341Y5S79UU,340858239719917,B04209P,B03197P,6N,2023-04-03,2023-04-03T06:51:56.000Z,2023-04-03T07:17:19.000Z,25,12,18.0,6.0,3500.0
TFRA396G6W78PD,3569562588766630,P00170,B03277P,3C,2023-04-03,2023-04-03T06:16:29.000Z,2023-04-03T07:11:37.000Z,55,0,1.0,1.0,0.0
GXOP506G9B61EP,180016859215889,P00245,P00184,M8,2023-04-03,2023-04-03T05:19:06.000Z,2023-04-03T05:47:40.000Z,28,20,22.0,2.0,3500.0
XESL868N6A66XN,373945281501952,B02263P,B05622P,B21,2023-04-03,2023-04-03T05:02:15.000Z,2023-04-03T05:57:31.000Z,55,7,10.0,3.0,3500.0
IVHH403J9T51JH,5134532253940704,B05253P,B02709P,12A,2023-04-03,2023-04-03T06:12:41.000Z,2023-04-03T07:12:09.000Z,59,15,18.0,3.0,3500.0
OTGH855B8A29BP,3549158005951908,B02408P,unknown,1T,2023-04-03,2023-04-03T05:57:55.000Z,"","",7,"","",20000.0
YJMS457L2O20JF,379764016867073,B03360P,B04218P,JAK.71,2023-04-03,2023-04-03T05:12:37.000Z,2023-04-03T06:06:48.000Z,54,18,21.0,3.0,0.0
NNAE999Q4V92XM,4189640459822695962,B06877P,B06065P,JAK.77,2023-04-03,2023-04-03T05:11:15.000Z,2023-04-03T05:35:24.000Z,24,1,9.0,8.0,0.0
UCMI767D7M79GS,4766007569419196,P00237,P00009,M3,2023-04-03,2023-04-03T06:49:46.000Z,2023-04-03T07:21:09.000Z,31,2,14.0,12.0,3500.0
ZHFN555D9L05LU,3576239635494729,B04386P,B06832P,JAK.44,2023-04-03,2023-04-03T05:50:00.000Z,2023-04-03T06:37:49.000Z,47,25,34.0,9.0,0.0
WHTZ386I9S44YF,587887634588,B00292P,B00770P,14,2023-04-03,2023-04-03T06:42:45.000Z,2023-04-03T07:08:03.000Z,25,8,16.0,8.0,3500.0
VHUC320U1S58CB,567286069354,B02272P,B01732P,JAK.48B,2023-04-03,2023-04-03T06:12:01.000Z,2023-04-03T06:57:35.000Z,45,1,11.0,10.0,""
DBWI728C0M55ND,4097122165824,B05177P,B03637P,8K,2023-04-03,2023-04-03T06:41:08.000Z,2023-04-03T07:20:00.000Z,38,12,16.0,4.0,3500.0
HHCJ093F0W41XK,378851219912235,B00563P,B01297P,JAK.19,2023-04-03,2023-04-03T05:57:05.000Z,2023-04-03T06:49:41.000Z,52,14,27.0,13.0,0.0
JUNS207R4F95UA,180022972730457,P00287,P00105,M10,2023-04-03,2023-04-03T05:59:19.000Z,2023-04-03T06:47:17.000Z,47,2,10.0,8.0,3500.0
LFIW578V8Y12XO,2237440645700724,P00036,P00182,10D,2023-04-03,2023-04-03T06:03:33.000Z,2023-04-03T06:28:37.000Z,25,9,13.0,4.0,3500.0
GYVC538M6B25WO,6011162006507240,B00671P,B03786P,JAK.75,2023-04-03,2023-04-03T05:42:25.000Z,2023-04-03T06:21:13.000Z,38,4,25.0,21.0,0.0
QRFR658M6P01AH,4730280883020443501,B01728P,B00232P,B11,2023-04-03,2023-04-03T06:08:56.000Z,2023-04-03T06:41:37.000Z,32,5,6.0,1.0,3500.0
TKQW976R2D32RY,3505707886664931,B01829P,B05714P,JAK.52,2023-04-03,2023-04-03T05:21:39.000Z,2023-04-03T06:12:00.000Z,50,26,27.0,1.0,0.0
PCGM443G2W62OB,4450403105752326,B00908P,B04716P,JAK.37,2023-04-03,2023-04-03T05:36:10.000Z,2023-04-03T06:25:54.000Z,49,12,14.0,2.0,0.0
PEGV120E5W96OH,4074114259011835374,B03711P,B05388P,JAK.31,2023-04-03,2023-04-03T06:07:43.000Z,2023-04-03T06:44:41.000Z,36,18,30.0,12.0,0.0
BUQT197K3D65PN,4000041838802,P00169,P00174,11M,2023-04-03,2023-04-03T05:32:18.000Z,2023-04-03T06:27:22.000Z,55,2,3.0,1.0,0.0
UNSO267V8F26WP,4112330548313,B06086P,B06268P,JAK.43C,2023-04-03,2023-04-03T06:23:34.000Z,2023-04-03T07:14:33.000Z,50,1,4.0,3.0,0.0
RHCN069U6G42WD,30583455954585,B06183P,P00191,2F,2023-04-03,2023-04-03T05:13:09.000Z,2023-04-03T06:04:38.000Z,51,8,15.0,7.0,0.0
QMHC825R0K38KM,3537543297101185,P00158,unknown,M11,2023-04-03,2023-04-03T06:23:36.000Z,2023-04-03T06:52:14.000Z,28,0,7.0,7.0,3500.0
WGRY331M3O87VE,2720484776954605,B03206P,B02195P,3B,2023-04-03,2023-04-03T06:50:15.000Z,2023-04-03T07:46:28.000Z,56,4,6.0,2.0,0.0
TKRV681O2S46RW,3570422408611549,P00083,B01638P,8C,2023-04-03,2023-04-03T05:57:14.000Z,2023-04-03T06:55:59.000Z,58,0,3.0,3.0,3500.0
ELFD362R2U94NT,2291402671071407,P00014,P00006,M2,2023-04-03,2023-04-03T05:20:00.000Z,2023-04-03T06:04:41.000Z,44,1,12.0,11.0,3500.0
YYXK265F5N59SE,676172975739,B05080P,P00123,12B,2023-04-03,2023-04-03T05:43:01.000Z,2023-04-03T06:29:21.000Z,46,26,28.0,2.0,3500.0
ZGJG301G9Z71AR,180020791350481,P00109,P00118,5D,2023-04-03,2023-04-03T05:28:25.000Z,2023-04-03T06:08:29.000Z,40,7,13.0,6.0,3500.0
KNSE319Q1P35CC,502072062834,B05716P,P00256,9D,2023-04-03,2023-04-03T06:25:22.000Z,2023-04-03T07:11:01.000Z,45,1,37.0,36.0,3500.0
RMJF585F2W51BQ,30385017224303,B04040P,B04863P,JAK.117,2023-04-03,2023-04-03T06:23:23.000Z,2023-04-03T06:55:01.000Z,31,7,25.0,18.0,0.0
KFYK655N1H73XS,6590854673757012,P00087,P00138,3H,2023-04-03,2023-04-03T06:03:19.000Z,2023-04-03T06:35:04.000Z,31,0,9.0,9.0,""
WTBE175B2A58NC,4963710913075879668,B04647P,B05725P,14,2023-04-03,2023-04-03T06:00:02.000Z,2023-04-03T06:54:13.000Z,54,20,21.0,1.0,3500.0
SVRH922T8G79FY,213104805015669,B01790P,B05492P,JAK.49,2023-04-03,2023-04-03T05:59:21.000Z,2023-04-03T06:53:50.000Z,54,48,49.0,1.0,0.0
WNJA365V4N56HF,342875882384375,B00610P,B01377P,7A,2023-04-03,2023-04-03T06:37:28.000Z,2023-04-03T06:59:54.000Z,22,4,25.0,21.0,3500.0
XVWU715D9V59FV,4744480387450088900,unknown,B01846P,JAK.44,2023-04-03,2023-04-03T06:45:56.000Z,2023-04-03T07:36:05.000Z,50,0,13.0,13.0,0.0
SLHT241M5V31BZ,4909284437358495207,B01509P,B02880P,7Q,2023-04-03,2023-04-03T06:35:53.000Z,2023-04-03T07:03:36.000Z,27,25,30.0,5.0,3500.0
CUBV879R6E17WU,2267435685058176,B03553P,B05751P,JAK.20,2023-04-03,2023-04-03T06:09:03.000Z,2023-04-03T06:40:10.000Z,31,13,39.0,26.0,0.0
SFFW927I8N52GM,4613366061817460310,B03697P,B01860P,1M,2023-04-03,2023-04-03T06:23:28.000Z,2023-04-03T07:02:10.000Z,38,11,34.0,23.0,3500.0
NZOZ563E7A86QX,4664503638851963221,B06696P,B02213P,JAK.118,2023-04-03,2023-04-03T06:36:31.000Z,2023-04-03T07:16:53.000Z,40,25,28.0,3.0,0.0
XTVN886V6A58RC,341371220559499,B04977P,B02576P,JAK.36,2023-04-03,2023-04-03T06:27:14.000Z,2023-04-03T07:23:47.000Z,56,13,19.0,6.0,0.0
BNNJ428H8B05IR,30276672399789,P00253,P00142,5C,2023-04-03,2023-04-03T06:56:00.000Z,2023-04-03T07:27:18.000Z,31,10,15.0,5.0,3500.0
LDMO585I7Y51LA,3549191016294752,B02835P,B00575P,JAK.27,2023-04-03,2023-04-03T06:56:17.000Z,2023-04-03T07:53:38.000Z,57,23,33.0,10.0,0.0
CILM584S6W21DC,2679374058097150,B03155P,B00232P,B11,2023-04-03,2023-04-03T05:55:32.000Z,2023-04-03T06:34:50.000Z,39,1,6.0,5.0,3500.0
WWNB500S1E66DW,4104888875282062619,B02082P,B04109P,6Q,2023-04-03,2023-04-03T06:09:11.000Z,2023-04-03T06:38:14.000Z,29,4,13.0,9.0,3500.0
SLIM980A3X96XT,4547245090487583462,B02319P,B05798P,4E,2023-04-03,2023-04-03T06:08:46.000Z,2023-04-03T06:48:21.000Z,39,2,7.0,5.0,0.0
XHEU123Y1Z09JV,3560398544907466,B04949P,B02692P,JAK.13,2023-04-03,2023-04-03T06:37:34.000Z,2023-04-03T07:13:31.000Z,35,6,29.0,23.0,0.0
MHRF005V2N53OQ,3528988342978833,B04789P,B01745P,JIS3,2023-04-03,2023-04-03T06:55:00.000Z,2023-04-03T07:43:33.000Z,48,11,13.0,2.0,3500.0
IKZD231G3P02MZ,3535679723903364,B02598P,B05824P,JAK.84,2023-04-03,2023-04-03T06:58:49.000Z,2023-04-03T07:44:32.000Z,45,10,17.0,7.0,0.0
AVMF680H1S53KJ,345353368043961,B04344P,B03273P,2H,2023-04-03,2023-04-03T06:49:20.000Z,2023-04-03T07:39:46.000Z,50,13,14.0,1.0,0.0
HOIM404G0W62HL,4719913296770918,B04088P,B01925P,JAK.08,2023-04-03,2023-04-03T05:46:08.000Z,2023-04-03T06:44:17.000Z,58,6,17.0,11.0,0.0
YTOA058V9U73VN,4709994160903,B00808P,B02557P,T21,2023-04-03,2023-04-03T06:37:27.000Z,2023-04-03T07:20:36.000Z,43,10,12.0,2.0,20000.0
YEZH881F9T50DI,6011141476414459,B01822P,P00155,8E,2023-04-03,2023-04-03T05:18:27.000Z,2023-04-03T05:58:36.000Z,40,19,23.0,4.0,3500.0
VBTE237H7I30UK,213136570183140,B06443P,B06129P,JAK.23,2023-04-03,2023-04-03T06:53:49.000Z,2023-04-03T07:24:35.000Z,30,10,16.0,6.0,0.0
MCWO805A6Q66MX,3570416613897992,P00109,P00224,unknown,2023-04-03,2023-04-03T06:38:44.000Z,2023-04-03T07:32:11.000Z,53,8,9.0,1.0,3500.0
JINW306B9X30QT,213189948673904,P00160,P00065,6M,2023-04-03,2023-04-03T05:16:17.000Z,2023-04-03T05:41:18.000Z,25,8,10.0,2.0,3500.0
ENXD420E9G92TO,4817620823758230,unknown,B04952P,JAK.07,2023-04-03,2023-04-03T06:21:20.000Z,2023-04-03T07:09:28.000Z,48,19,24.0,5.0,0.0
AQHO766Z1B38WS,3518707807771562,B02167P,B04983P,JAK.22,2023-04-03,2023-04-03T06:03:19.000Z,2023-04-03T06:45:59.000Z,42,9,10.0,1.0,0.0
EJEA941B6N13PQ,4345294247705168,B01056P,B05728P,JAK.115,2023-04-03,2023-04-03T06:19:00.000Z,2023-04-03T06:53:35.000Z,34,42,44.0,2.0,0.0
KZGL815X5W31IV,4375765946745400,P00031,P00070,5D,2023-04-03,2023-04-03T05:16:55.000Z,2023-04-03T05:41:19.000Z,24,4,5.0,1.0,3500.0
PQFD683F4V24VJ,3573742802282614,B02443P,B01247P,JAK.21,2023-04-03,2023-04-03T06:23:01.000Z,2023-04-03T07:20:25.000Z,57,28,29.0,1.0,0.0
UDDP570L6N53QS,344423213182214,P00134,P00122,5C,2023-04-03,2023-04-03T05:22:34.000Z,2023-04-03T05:54:42.000Z,32,11,16.0,5.0,3500.0
EUPW593V1E27UK,6011618540818377,B00527P,B03600P,JAK.26,2023-04-03,2023-04-03T05:10:16.000Z,2023-04-03T06:04:39.000Z,54,19,41.0,22.0,0.0
NQKI710A7B46OS,3508055251895822,P00120,P00124,L13E,2023-04-03,2023-04-03T06:08:43.000Z,2023-04-03T07:03:17.000Z,54,10,12.0,2.0,3500.0
JUKK703H7F00XH,570918242399,P00035,unknown,10D,2023-04-03,2023-04-03T05:40:04.000Z,"","",7,"","",3500.0
KZNR646Q6B40PH,180000876162530,B05858P,B03050P,12P,2023-04-03,2023-04-03T06:28:09.000Z,2023-04-03T06:49:12.000Z,21,11,13.0,2.0,3500.0
VQIJ499K5A71UK,180065411329605,B04342P,B05326P,JAK.64,2023-04-03,2023-04-03T05:18:28.000Z,2023-04-03T06:17:08.000Z,58,21,35.0,14.0,0.0
XAYZ349R8U03QO,30158257275842,P00064,P00016,9N,2023-04-03,2023-04-03T06:27:52.000Z,2023-04-03T07:18:37.000Z,50,1,2.0,1.0,3500.0
ESJQ990H8Q22LV,345711968178505,B00102P,B00360P,1T,2023-04-03,2023-04-03T05:28:11.000Z,2023-04-03T06:09:57.000Z,41,0,11.0,11.0,20000.0
RIGQ092B1C22JU,3521407549788058,B04331P,B05670P,JAK.47,2023-04-03,2023-04-03T05:37:23.000Z,2023-04-03T06:15:31.000Z,38,46,50.0,4.0,0.0
DLUY732C1F10IM,376898980622834,P00218,P00026,1F,2023-04-03,2023-04-03T05:41:56.000Z,2023-04-03T06:26:12.000Z,44,4,6.0,2.0,3500.0
AVII375J2K62NB,4966489323202,B05560P,B05622P,B21,2023-04-03,2023-04-03T05:34:50.000Z,2023-04-03T05:58:34.000Z,23,9,10.0,1.0,3500.0
VIIH700Y7Q03PL,3565938568828570,B05405P,B06658P,12C,2023-04-03,2023-04-03T06:49:19.000Z,2023-04-03T07:20:02.000Z,30,6,10.0,4.0,0.0
ZULU908O5C48ME,2407683922581481,B01745P,P00095,14,2023-04-03,2023-04-03T06:15:59.000Z,2023-04-03T06:51:15.000Z,35,13,14.0,1.0,3500.0
NVJR689V9Y19TT,676368577380,B03267P,B06150P,2F,2023-04-03,2023-04-03T05:52:16.000Z,2023-04-03T06:51:25.000Z,59,0,13.0,13.0,0.0
BYPO952B8M23LM,2484941381862990,P00136,P00200,13C,2023-04-03,2023-04-03T05:59:53.000Z,2023-04-03T06:25:55.000Z,26,8,11.0,3.0,3500.0
UMNC719B6F52LL,30100687125098,P00012,P00137,1,2023-04-03,2023-04-03T05:05:42.000Z,2023-04-03T06:05:17.000Z,59,6,13.0,7.0,3500.0
IHDN076U2V99UG,3560571608142499,B01059P,B01629P,JAK.01,2023-04-03,2023-04-03T05:41:21.000Z,2023-04-03T06:02:15.000Z,20,0,14.0,14.0,0.0
MNQL870O6S91AP,4880377652769980677,B04584P,B03323P,JAK.120,2023-04-03,2023-04-03T06:43:23.000Z,2023-04-03T07:18:43.000Z,35,34,36.0,2.0,0.0
NZAY182R6T96VN,3528266385259712,B05874P,B05259P,4B,2023-04-03,2023-04-03T05:23:18.000Z,2023-04-03T06:17:21.000Z,54,28,44.0,16.0,3500.0
JRBW741X3T33KW,4199450082632933049,B00248P,P00016,7C,2023-04-03,2023-04-03T05:40:34.000Z,2023-04-03T06:11:00.000Z,30,0,1.0,1.0,3500.0
PNHJ396O9J75XG,4450080570279470,B01639P,B05264P,8C,2023-04-03,2023-04-03T05:12:16.000Z,2023-04-03T05:35:12.000Z,22,5,21.0,16.0,3500.0
NHJE093C3H53DR,4306399682236699,B04097P,B02463P,JAK.85,2023-04-03,2023-04-03T06:20:22.000Z,2023-04-03T06:47:58.000Z,27,32,39.0,7.0,0.0
OVAQ760H7C61IE,4946777822784,P00224,unknown,5,2023-04-03,2023-04-03T05:00:14.000Z,2023-04-03T05:33:29.000Z,33,1,9.0,8.0,3500.0
TFBA876H9L48DY,3575787320226609,B00922P,B02603P,11N,2023-04-03,2023-04-03T05:06:44.000Z,2023-04-03T05:39:08.000Z,32,9,10.0,1.0,0.0
CXLY791F0A96CY,5125406223322395,B03278P,B00086P,JAK.10,2023-04-03,2023-04-03T06:33:06.000Z,2023-04-03T07:24:33.000Z,51,20,40.0,20.0,0.0
FZGD727V6X43JZ,3507107976417837,P00053,P00133,6V,2023-04-03,2023-04-03T05:14:27.000Z,2023-04-03T05:49:04.000Z,34,8,13.0,5.0,3500.0
DKJG081O7Q37WJ,4203562511038947968,P00076,P00171,12,2023-04-03,2023-04-03T06:27:08.000Z,2023-04-03T07:15:51.000Z,48,8,18.0,10.0,3500.0
ZJTC474A5Y97DB,4880385425658,B02834P,B04977P,JAK.36,2023-04-03,2023-04-03T05:32:36.000Z,2023-04-03T05:55:04.000Z,22,12,13.0,1.0,0.0
